ID	Date		Speakers	Slug							Title
1	2022-11-09	@laforge	retronetcall-20221109-laforge-octoi-status-update	OCTOI project status update (Nov 2022)
2	2022-12-07	@laforge	retronetcall-20221207-laforge-isdn-b-channel-protocols	ISDN B-Channel protocols (X.75, V.120, V.110, T.70, ...)
3	2023-02-01	@laforge	retronetcall-20230201-laforge-datex-l-cspdn		Datex-L: The German CSPDN (Circuit Switched Public Data Network)
4	2023-03-01	@laforge	retronetcall-20230301-laforge-x21-intro			Introduction to the X.21 interface
5	2023-05-03	@tnt		retronetcall-20230503-tnt-e1-analog-side-part-1		E1: The analog side (part 1)
6	2023-06-07	@laforge	retronetcall-20230607-laforge-teletex			Teletex: The brief abandoned step between Telex and Telefax
7	2023-07-05	@casandro	retronetcall-20230705-casandro-teletext			Teletext: A digital medium transcending a factor of 10⁶ in technical progress
8	2023-12-06	@laforge	retronetcall-20231206-laforge-octoi-divf-tour		A tour of DIVF, our OCTOI central office using yate, dahdi-trunkdev and more
